"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"DST","Steelers ",2900,"Bal@Pit 08:25PM ET",4.500,"Pit"
"DST","Ravens ",2700,"Bal@Pit 08:25PM ET",7.500,"Bal"
"TE","Matt Spaeth",2500,"Bal@Pit 08:25PM ET",0.000,"Pit"
"TE","Andrew Quarless",2500,"KC@GB 08:30PM ET",0.000,"GB"
"TE","James Winchester",2500,"KC@GB 08:30PM ET",0.000,"KC"
"TE","James O'Shaughnessy",2500,"KC@GB 08:30PM ET",3.700,"KC"
"TE","Brian Parker",2500,"KC@GB 08:30PM ET",0,"KC"
"TE","Demetrius Harris",2500,"KC@GB 08:30PM ET",0.000,"KC"
"TE","Richard Rodgers",2500,"KC@GB 08:30PM ET",10.050,"GB"
"TE","Nick Boyle",2500,"Bal@Pit 08:25PM ET",0.000,"Bal"
"TE","Kennard Backman",2500,"KC@GB 08:30PM ET",0,"GB"
"TE","Maxx Williams",2500,"Bal@Pit 08:25PM ET",2.150,"Bal"
"TE","Jesse James",2500,"Bal@Pit 08:25PM ET",0,"Pit"
